번호,지역1(시도),지역2(시군구),업종,호텔명(등록명칭),관광사업자명(법인명 or 개인명),영업상태(19.12.31기준),주소(도로명주소)
1,강원,춘천시,관광호텔,춘천세종관광호텔,주식회사 세종,영업중,춘천시 봉의동 15-3
2,강원,춘천시,관광호텔,춘천베어스관광호텔,유한회사 화성에이에스엠,영업중,춘천시 삼천동 300-3
3,강원,원주시,관광호텔,(주)호텔인터불고 원주,(주)호텔인터불고원주,영업중,원주시 동부순환로 200(반곡동)
4,강원,원주시,관광호텔,베니키아문막호텔,주식회사 해평,휴업,원주시 문막읍 왕건로 9
5,강원,원주시,관광호텔,호텔비즈인,주식회사 청연,영업중,원주시 만대로 7-1 (무실동)
6,강원,원주시,관광호텔,㈜오키드호텔,주식회사오키드호텔,영업중,원주시 봉화로 26(단계동)
7,강원,원주시,관광호텔,시티호텔,주식회사 혁신시티호텔,영업중,원주시 건강로 4(반곡동)
8,강원,강릉시,관광호텔,씨마크호텔,"권오갑, 가삼현",영업중,강릉시 해안로406번길 2(강문동)
9,강원,강릉시,관광호텔,경포비치호텔,박상수,영업중,강릉시 해안로406번길 13-6(강문동)
10,강원,강릉시,관광호텔,HONG C HOTEL Gangneung Station,홍종표,영업중,강릉시 옥천로65번길 2-6(옥천동)
11,강원,강릉시,관광호텔,강릉관광호텔,김운성,영업중,강릉시 금성로 62
12,강원,강릉시,관광호텔,Hotel Tops10,"김종민,
고용재",영업중,강릉시 옥계면 헌화로 455-34
13,강원,강릉시,관광호텔,THE HONG C HOTEL Gangneung,홍종표,영업중,강릉시 교동광장로100번길 8(교동)
14,강원,강릉시,관광호텔,호텔이스트나인,최혁진,영업중,강릉시 교동광장로100번길 8-6(교동)
15,강원,동해시,관광호텔,뉴동해관광호텔,박재두,영업중,강원 동해시 평릉길 1
16,강원,동해시,관광호텔,이스턴관광호텔,김윤미,영업중,강원 동해시 한섬로 112-4
17,강원,동해시,관광호텔,㈜동해보양온천컨벤션호텔,정삼암,영업중,강원 동해시 동해대로 6285
18,강원,동해시,관광호텔,동해현진관광호텔,채창희,영업중,강원 동해시 동굴로 125-3
19,강원,태백,관광호텔,카스텔로리젠시 태백관광호텔,한설경,영업중,강원도 태백시 연지로 6 (황지동)
20,강원,태백,관광호텔,태백관광호텔(SORANO HOTEL),이명숙,영업중,강원도 태백시 기장밭길 7-1 (화전동)
21,강원,속초시,관광호텔,(주)설악산관광호텔,설악산관광호텔,휴업,강원도 속초시 설악산로 1042 (설악동)
22,강원,속초시,관광호텔,(주)이랜드파크 켄싱턴호텔 설악,주식회사 이랜드파크,영업중,강원도 속초시 설악산로 998 (설악동)
23,강원,속초시,관광호텔,이스턴관광호텔,정영숙,영업중,강원도 속초시 청초호반로 317 (중앙동)
24,강원,속초시,관광호텔,마레몬스관광호텔,주식회사 마레몬스,영업중,"강원도 속초시 동해대로 3705 (대포동,외 8필지)"
25,강원,속초시,관광호텔,베니키아 호텔 산과바다 대포항,동궁 주식회사,영업중,강원도 속초시 동해대로 3691 (대포동)
26,강원,속초시,관광호텔,더클래스 300 멤버쉽,더클래스호텔 주식회사,영업중,강원도 속초시 동해대로 3915 (조양동)
27,강원,속초시,관광호텔,롯데리조트 속초,주식회사 호텔롯데,영업중,강원도 속초시 대포항길 186 (대포동)
28,강원,삼척시,관광호텔,쏠비치 호텔 삼척,최주영,영업중,강원도 삼척시 수로부인길 453 (갈천동)
29,강원,홍천군,관광호텔,소노문 비발디파크,㈜소노호텔앤리조트,영업중,강원도 홍천군 서면 한치골길 262
30,강원,평창군,관광호텔,드래곤밸리리조트(용평리조트),㈜용평리조트,영업중,강원도 평창군 대관령면 올림픽로 715
31,강원,평창군,관광호텔,켄싱턴 플로라호텔,㈜이랜드파크,영업중,강원도 평창군 진부면 간평리 221-1 
32,강원,평창군,관광호텔,인터컨티넨탈알펜시아평창리조트,강원도개발공사,영업중,강원도 평창군 대관령면 솔봉로 325
33,강원,평창군,관광호텔,홀리데이인리조트,강원도개발공사,영업중,강원도 평창군 대관령면 솔봉로 325
34,강원,평창군,관광호텔,휘닉스 호텔,휘닉스중앙㈜,영업중,강원도 평창군 봉평면 면온리 1094
35,강원,평창군,관광호텔,서림관광호텔,박정숙,영업중,강원도 평창군 진부면 청송로 109
36,강원,정선군,관광호텔,하이원 그랜드호텔카지노,강원랜드,영업중,강원도 정선군 고한읍 고한7길 399
37,강원,정선군,관광호텔,하이원 팰리스호텔,강원랜드,휴업,강원도 정선군 사북읍 하이원길 265
38,강원,정선군,관광호텔,이코노미호텔,박정숙,영업중,강원도 정선군 남면 무릉4로 2
39,강원,철원군,관광호텔,한탄리버스파호텔,㈜귀뚜라미랜드,영업중,강원도 철원군 동송읍 태봉로 1799-22
40,강원,양구군,관광호텔,양구KCP호텔,경화수,영업중,강원도 양구군 양구읍 파로호로 993-19
41,강원,인제군,관광호텔,인제스피디움호텔,"윤제연, 김춘수",영업중,강원도 인제군 기린면 상하답로 130
42,강원,양양군,관광호텔,쏠비치 호텔 양양,㈜소노호텔앤리조트,영업중,양양군 손양면 선사유적로 678
43,강원,양양군,관광호텔,베니키아호텔 산과바다 양양,㈜동궁 주식회사,영업중,양양군 강현면 동해대로 3393
44,강원,평창군,한국전통관광호텔,고려궁전통한옥호텔,최규옥,영업중,강원도 평창군 대관령면 올림픽로 1169
45,강원,춘천시,가족호텔,호텔공지천,변병건,영업중,춘천시 삼천동 13-1
46,강원,강릉시,가족호텔,주문진리조트,음덕성,영업중,강릉시 주문진읍 해안로 2070
47,강원,강릉시,가족호텔,썬크루즈호텔&리조트,박기열,영업중,강릉시 강동면 헌화로 950-39
48,강원,동해시,가족호텔,망상해오름가족호텔,장영두,영업중,강원 동해시 동해대로 6188
49,강원,속초시,가족호텔,베니키아호텔 산과바다 속초,동궁이유엠 주식회사,영업중,강원도 속초시 동해대로 3707 (대포동)
50,강원,속초시,가족호텔,더케이호텔앤리조트(주) 더케이설악산가족호텔,더케이호텔앤리조트 주식회사,영업중,강원도 속초시 설악산로 470-7 (도문동)
51,강원,속초시,가족호텔,호텔굿모닝,주식회사 굿모닝,영업중,강원도 속초시 해오름로 204 (조양동)
52,강원,홍천군,가족호텔,LK HOTEL,김명옥 외1명,영업중,강원도 홍천군 홍천읍 남산강변로 55
53,강원,홍천군,가족호텔,화양강호텔,화양강호텔 주식회사,영업중,강원도 홍천군 홍천읍 소옥개로 142
54,강원,홍천군,가족호텔,세이지우드 호텔 홍천,와이케이디벨롭,영업중,강원도 홍천군 두촌면 광석로 898-87
55,강원,평창군,가족호텔,㈜현대엘리엇호텔앤드리조트,주식회사 현대엘리엇호텔앤드리조트,영업중,강원도 평창군 대관령면 경강로 4887-5
56,강원,정선군,가족호텔,골든메이플관광호텔,이용석,영업중,강원도 정선군 남면 무릉1로 85
57,강원,정선군,가족호텔,엘스호텔,이관순 외1,영업중,강원도 정선군 사북읍 사북1길 21
58,강원,고성군,가족호텔,소노캄 호텔 델피노,㈜소노호텔앤리조트,영업중,강원도 고성군 토성면 미시령옛길 1153
59,강원,고성군,가족호텔,레이크오션 가족호텔,㈜잼버리리조트,영업중,강원도 고성군 토성면 잼버리동로 583-20
60,강원,양양군,가족호텔,오색그린야드호텔,이종균,영업중,양양군 서면 대청봉길 34
61,강원,춘천시,호스텔,봄엔게스트하우스,동네방네협동조합,영업중,춘천시 근화동 264-32
62,강원,춘천시,호스텔,에스파스호스텔,박형우,영업중,춘천시 효자동 683-8
63,강원,강릉시,호스텔,게스트하우스 안도,"조우석, 이지연",영업중,강릉시 율곡로 2899-1(교동 191-22번지)
64,강원,강릉시,호스텔,썬앤제이드,최규옥,영업중,강릉시 옥계면 헌화로 189
65,강원,동해시,호스텔,아라비카 호스텔,장양순,영업중,강원 동해시 동굴로 138
66,강원,동해시,호스텔,이스트하우스 호스텔,김철문,영업중,강원 동해시 동해대로 6267
67,강원,속초시,호스텔,화이트스테이션 호스텔,최영,영업중,강원도 속초시 미리내길 17-1 (청호동)
68,강원,속초시,호스텔,스테이호스텔,주옥희 외 1 명,영업중,강원도 속초시 설악금강대교로 193 (동명동)
69,강원,속초시,호스텔,더 티(the T),권혜주,영업중,강원도 속초시 해오름로 151 (조양동)
70,강원,속초시,호스텔,속초비치호스텔,최정자,영업중,강원도 속초시 해오름로 129 (대포동)
71,강원,정선군,호스텔,예미MTB마을호스텔,정선군수,영업중,강원도 정선군 신동읍 용수길 68
72,강원,화천군,호스텔,화천열차펜션,코레일관광개발㈜,휴업,강원도 화천군 하남면 춘화로 3331-12
73,강원,양구군,호스텔,LACKY HOSTEL(락희호스텔),최성대,영업중,강원도 양구군 양구읍 비봉로 99-3
74,강원,양양군,호스텔,파크애비뉴,정대준,영업중,양양군 현남면 북분안길 29
75,강원,양양군,호스텔,서프더맨션,"조좌겸, 김진",영업중,양양군 현남면 인구중앙길 79
76,강원,양양군,호스텔,메종드메르,김미옥,영업중,양양군 현남면 동해대로 694
77,강원,양양군,호스텔,핀스하우스호스텔,유남열,영업중,양양군 현남면 인구중앙길 99
78,강원,강릉시,소형호텔,하슬라아트월드,박신정,영업중,강릉시 강동면 율곡로 1441
