관광유형,명칭,우편번호,주소,도시,시군구,위도,경도
관광지,쉰움산,25746,"강원도 동해시 삼화로 584
			",강원도 동해시,강원도 동해시,37.45519384,129.0015692
관광지,대진 등대,24703,"강원도 고성군 현내면 한나루로4길 16-38
			",강원도 고성군,강원도 고성군,38.50378046,128.42879399999998
관광지,감자꽃 스튜디오,25370,"강원도 평창군 평창읍 고길천로 105
			",강원도 평창군,강원도 평창군,37.36885132,128.4388807
관광지,하평해변(강릉),25435,"강원도 강릉시 사천면 진리해변길 155
			",강원도 강릉시,강원도 강릉시,37.84428248,128.8719216
관광지,기미만세공원,25162,"강원도 홍천군 내촌면 물걸리
			",강원도 홍천군,강원도 홍천군,37.78452546,128.1463918
관광지,초곡해수욕장,25937,"강원도 삼척시 근덕면 초곡2길
			",강원도 삼척시,강원도 삼척시,37.31044383,129.2861482
관광지,횡성 산채마을,25261,"강원도 횡성군 둔내면 삽교로 386
			",강원도 횡성군,강원도 횡성군,37.54496654,128.263344
관광지,계족산(영월),26231,"강원도 영월군 영월읍 정양리 451
			",강원도 영월군,강원도 영월군,37.16181516,128.496926
관광지,소이산 생태숲 녹색길,24001,"강원도 철원군 철원읍 금강산로 265(철원읍, 노동당사) 소이산 입구 부근",강원도 철원군,강원도 철원군,38.25299768,127.2017668
관광지,바위그늘유적,24032,"강원도 철원군 갈말읍 군탄리
			",강원도 철원군,강원도 철원군,38.15884119,127.30722379999999
관광지,구문소 (강원고생대 국가지질공원),26048,"강원도 태백시 동태백로 11
			",강원도 태백시,강원도 태백시,37.09499988,129.0395323
관광지,봉수대해변,24747,강원도 고성군 죽왕면 오호리(죽왕면),강원도 고성군,강원도 고성군,38.32280352,128.52800459999997
관광지,수타사계곡,25152,"강원도 홍천군 동면 수타사로 473
			",강원도 홍천군,강원도 홍천군,37.6993651,127.9565338
관광지,비래암 (강원평화지역 국가지질공원),24105,"강원도 화천군 상서면 구운리
			",강원도 화천군,강원도 화천군,38.14651436,127.58011029999999
관광지,바다열차,25909,"강원도 삼척시 수로부인길 542 / 강원도 강릉시 용지로 176 강릉역
			",강원도 삼척시,강원도 삼척시,37.46838165,129.1663179
관광지,남애어촌체험마을,25057,강원도 양양군 현남면 매바위길 127(현남면),강원도 양양군,강원도 양양군,37.9445803,128.7861179
관광지,대관령 관광특구,,"강원도강릉시, 동해시, 삼척시, 횡성군, 평창군 일원",강원도 평창군,강원도 평창군,37.64874874,128.6866416
관광지,광치자연휴양림,24552,"강원도 양구군 국토정중앙면 광치령로1794번길 265
			",강원도 양구군,강원도 양구군,38.14372115,128.07096840000003
관광지,딴산,24109,강원도 화천군 화천읍일원,강원도 화천군,강원도 화천군,38.12302881,127.7606723
관광지,"남애해변(남애1, 3리)",25056,"강원도 양양군 현남면 광진리
			",강원도 양양군,강원도 양양군,37.95333736,128.7729355
관광지,다이나믹 메이즈 (속초점),24800,강원도 속초시 원암학사평길 88(노학동),강원도 속초시,강원도 속초시,38.20553642,128.5173453
관광지,황지연못,26008,강원도 태백시 황지연못길 12(황지동),강원도 태백시,강원도 태백시,37.17276224,128.9910509
