관광지,음식점,문화시설,레포츠,숙박,축제공연행사,쇼핑,여행코스,방문자,도시
94.0,72.0,26.0,25.0,17.0,15.0,10.0,7.0,30513697,강원도 춘천시
84.0,79.0,12.0,33.0,13.0,7.0,13.0,8.0,30608425,강원도 원주시
113.0,203.0,15.0,35.0,50.0,6.0,8.0,14.0,32299061,강원도 강릉시
45.0,16.0,1.0,8.0,13.0,0.0,2.0,7.0,10790192,강원도 동해시
46.0,10.0,6.0,8.0,7.0,0.0,5.0,4.0,5283704,강원도 태백시
60.0,45.0,13.0,10.0,45.0,2.0,4.0,9.0,21318885,강원도 속초시
85.0,17.0,8.0,16.0,10.0,1.0,5.0,10.0,11390321,강원도 삼척시
59.0,16.0,5.0,18.0,40.0,2.0,3.0,2.0,15723889,강원도 홍천군
32.0,43.0,6.0,20.0,16.0,1.0,4.0,2.0,13887057,강원도 횡성군
74.0,13.0,19.0,23.0,20.0,2.0,2.0,8.0,6180292,강원도 영월군
82.0,81.0,10.0,53.0,43.0,3.0,4.0,11.0,14293799,강원도 평창군
51.0,18.0,5.0,16.0,35.0,4.0,4.0,4.0,9031346,강원도 정선군
61.0,48.0,1.0,19.0,20.0,1.0,3.0,8.0,6393938,강원도 철원군
54.0,10.0,5.0,3.0,23.0,0.0,3.0,12.0,4887552,강원도 화천군
47.0,9.0,7.0,6.0,6.0,2.0,2.0,8.0,3349779,강원도 양구군
61.0,21.0,8.0,13.0,19.0,2.0,1.0,7.0,9532016,강원도 인제군
114.0,39.0,16.0,26.0,27.0,4.0,4.0,21.0,10550924,강원도 고성군
103.0,20.0,3.0,21.0,33.0,2.0,2.0,6.0,13857308,강원도 양양군
36.0,18.0,26.0,9.0,23.0,14.0,6.0,2.0,197291922,경기도 수원시
27.0,30.0,15.0,15.0,3.0,1.0,5.0,4.0,158671190,경기도 성남시
10.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,43071872,경기도 의정부시
13.0,17.0,3.0,6.0,5.0,1.0,5.0,1.0,80634292,경기도 안양시
12.0,19.0,14.0,4.0,5.0,8.0,4.0,3.0,79373138,경기도 부천시
5.0,2.0,4.0,4.0,1.0,1.0,3.0,6.0,39867569,경기도 광명시
18.0,193.0,7.0,4.0,3.0,0.0,1.0,3.0,42986598,경기도 평택시
6.0,7.0,4.0,3.0,2.0,0.0,1.0,1.0,9706172,경기도 동두천시
35.0,9.0,11.0,14.0,8.0,2.0,1.0,7.0,83779181,경기도 안산시
47.0,30.0,15.0,13.0,9.0,9.0,6.0,7.0,167244878,경기도 고양시
10.0,2.0,12.0,3.0,0.0,3.0,0.0,1.0,19610371,경기도 과천시
12.0,7.0,1.0,4.0,1.0,0.0,1.0,1.0,40870834,경기도 구리시
42.0,25.0,9.0,19.0,2.0,1.0,2.0,8.0,66271463,경기도 남양주시
11.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,26671899,경기도 오산시
22.0,36.0,3.0,8.0,9.0,1.0,2.0,2.0,51927177,경기도 시흥시
6.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,26734438,경기도 군포시
8.0,9.0,2.0,4.0,1.0,1.0,0.0,1.0,24586032,경기도 의왕시
14.0,7.0,3.0,4.0,0.0,1.0,3.0,1.0,48428528,경기도 하남시
