구역,지역,구분,2018,2019
강원도,춘천시,외부방문자(b+c),26684111,30513697
강원도,원주시,외부방문자(b+c),29707426,30608425
강원도,강릉시,외부방문자(b+c),31662185,32299061
강원도,동해시,외부방문자(b+c),10110320,10790192
강원도,태백시,외부방문자(b+c),5058337,5283704
강원도,속초시,외부방문자(b+c),20970185,21318885
강원도,삼척시,외부방문자(b+c),11138870,11390321
강원도,홍천군,외부방문자(b+c),15114381,15723889
강원도,횡성군,외부방문자(b+c),14299849,13887057
강원도,영월군,외부방문자(b+c),6165800,6180292
강원도,평창군,외부방문자(b+c),15432714,14293799
강원도,정선군,외부방문자(b+c),9067569,9031346
강원도,철원군,외부방문자(b+c),5310503,6393938
강원도,화천군,외부방문자(b+c),3799766,4887552
강원도,양구군,외부방문자(b+c),2749003,3349779
강원도,인제군,외부방문자(b+c),8750718,9532016
강원도,고성군,외부방문자(b+c),9902786,10550924
강원도,양양군,외부방문자(b+c),13276548,13857308
경기도,수원시,외부방문자(b+c),189573188,197291922
경기도,성남시,외부방문자(b+c),152276012,158671190
경기도,의정부시,외부방문자(b+c),42123621,43071872
경기도,안양시,외부방문자(b+c),79683702,80634292
경기도,부천시,외부방문자(b+c),76028095,79373138
경기도,광명시,외부방문자(b+c),40491317,39867569
경기도,평택시,외부방문자(b+c),38101773,42986598
경기도,동두천시,외부방문자(b+c),9540657,9706172
경기도,안산시,외부방문자(b+c),80441729,83779181
경기도,고양시,외부방문자(b+c),163441603,167244878
경기도,과천시,외부방문자(b+c),19142260,19610371
경기도,구리시,외부방문자(b+c),39499660,40870834
경기도,남양주시,외부방문자(b+c),59823334,66271463
경기도,오산시,외부방문자(b+c),24451211,26671899
경기도,시흥시,외부방문자(b+c),48706320,51927177
경기도,군포시,외부방문자(b+c),24930856,26734438
경기도,의왕시,외부방문자(b+c),22768748,24586032
경기도,하남시,외부방문자(b+c),40229835,48428528
경기도,용인시,외부방문자(b+c),127353660,139320409
경기도,파주시,외부방문자(b+c),46156129,47884819
경기도,이천시,외부방문자(b+c),37321709,37774316
경기도,안성시,외부방문자(b+c),31180402,31256721
경기도,김포시,외부방문자(b+c),45372638,48286176
경기도,화성시,외부방문자(b+c),83573712,90317636
경기도,광주시,외부방문자(b+c),43730956,45387429
경기도,양주시,외부방문자(b+c),27389260,29422273
경기도,포천시,외부방문자(b+c),24574701,26148282
경기도,여주시,외부방문자(b+c),26364441,27826260
경기도,연천군,외부방문자(b+c),6641266,7810034
경기도,가평군,외부방문자(b+c),25059868,23859560
경기도,양평군,외부방문자(b+c),30510324,30038067
경상남도,창원시,외부방문자(b+c),133612220,134445734
경상남도,진주시,외부방문자(b+c),23109104,23937775
경상남도,통영시,외부방문자(b+c),16761579,16765488
경상남도,사천시,외부방문자(b+c),15245576,15815970
경상남도,김해시,외부방문자(b+c),38071117,39432329
경상남도,밀양시,외부방문자(b+c),11417207,12193700
경상남도,거제시,외부방문자(b+c),21762978,23144757
경상남도,양산시,외부방문자(b+c),30736352,31625791
경상남도,의령군,외부방문자(b+c),3737229,3890888
경상남도,함안군,외부방문자(b+c),9240879,9749461
경상남도,창녕군,외부방문자(b+c),8998831,9234704
경상남도,고성군,외부방문자(b+c),7916359,8666008
경상남도,남해군,외부방문자(b+c),8158309,8668460
경상남도,하동군,외부방문자(b+c),6495325,6844056
경상남도,산청군,외부방문자(b+c),6313491,6442049
경상남도,함양군,외부방문자(b+c),5089249,5222703
경상남도,거창군,외부방문자(b+c),6337084,6590867
경상남도,합천군,외부방문자(b+c),6284949,6680963
경상북도,포항시,외부방문자(b+c),55080581,56280500
경상북도,경주시,외부방문자(b+c),40711718,43259609
경상북도,김천시,외부방문자(b+c),11843521,12418353
경상북도,안동시,외부방문자(b+c),18470786,19048377
경상북도,구미시,외부방문자(b+c),24733231,26550515
경상북도,영주시,외부방문자(b+c),8745574,8919863
경상북도,영천시,외부방문자(b+c),11620799,12029117
경상북도,상주시,외부방문자(b+c),11479896,12324527
경상북도,문경시,외부방문자(b+c),9720391,11166104
경상북도,경산시,외부방문자(b+c),30872979,31757386
경상북도,군위군,외부방문자(b+c),6445025,6806071
경상북도,의성군,외부방문자(b+c),6295070,6654678
경상북도,청송군,외부방문자(b+c),5432733,4857143
경상북도,영양군,외부방문자(b+c),1589333,1658312
경상북도,영덕군,외부방문자(b+c),9217214,9571372
경상북도,청도군,외부방문자(b+c),8888479,9232241
경상북도,고령군,외부방문자(b+c),5003940,5255130
경상북도,성주군,외부방문자(b+c),6699761,6957042
경상북도,칠곡군,외부방문자(b+c),17668531,17717707
경상북도,예천군,외부방문자(b+c),6109401,6439035
경상북도,봉화군,외부방문자(b+c),3957501,4149336
경상북도,울진군,외부방문자(b+c),7258303,7597118
경상북도,울릉군,외부방문자(b+c),1554421,1751214
광주광역시,동구,외부방문자(b+c),37319797,35672614
광주광역시,서구,외부방문자(b+c),49145392,48123984
광주광역시,남구,외부방문자(b+c),21276542,21552186
광주광역시,북구,외부방문자(b+c),44375656,44117988
광주광역시,광산구,외부방문자(b+c),42193933,43746426
대구광역시,중구,외부방문자(b+c),72430646,72202901
대구광역시,동구,외부방문자(b+c),52863842,56700199
대구광역시,서구,외부방문자(b+c),22097159,21979016
대구광역시,남구,외부방문자(b+c),29787936,29561597
대구광역시,북구,외부방문자(b+c),48485651,49295908
대구광역시,수성구,외부방문자(b+c),48831530,50025844
대구광역시,달서구,외부방문자(b+c),56376463,57722119
대구광역시,달성군,외부방문자(b+c),27840811,29490946
대전광역시,동구,외부방문자(b+c),34490071,35875240
대전광역시,중구,외부방문자(b+c),45863303,44548476
대전광역시,서구,외부방문자(b+c),58898063,60307777
대전광역시,유성구,외부방문자(b+c),55164430,56025896
대전광역시,대덕구,외부방문자(b+c),23070332,23453535
